path,filename,extension,category,size_bytes,size_mb,modified,relevance_score,relevance,text_extracted,text_preview,sha256,duplicate_count
2\SILK 1-40.pdf,SILK 1-40.pdf,.pdf,document,228445,0.22,1262032154.0,22,HIGH,True,"A1 CHAPUT Remember this. Ahead, gray cliffs rise nearly to her level. She feels mist in her eyes, blinks, then drops in tight gyres through a twilit murk of wet clinging cloud. She ends another fine day for tit-bits with an indulgent flourish of acrobatics. She loses air quickly, the ravine before her a black cleft in the rock, an axe-blade cut six hundred feet deep. Pine and alder grow low to conceal the ravine’s lowest access. She blinks once more before she folds her wings to ",a944e954f01e827076780fd051684637ddc09c91425913d710a24a9cb820bbf8,1
2\Smooth As Silk (complete).pdf,Smooth As Silk (complete).pdf,.pdf,document,1191886,1.14,1263345248.0,22,HIGH,True," SMOOTH AS SILK by W. J. Chaput 107 Belmont Drive Alpharetta, GA 30022-5974 “But Faith, fanatic Faith, once wedded fast To some dear falsehood, hugs it to the last.” The Veiled Prophet of Khorassan Thomas Moore A1 CHAPUT Remember this. Ahead, gray cliffs rise nearly to her leve",0e8434ea1273c91cbc663c183c27e7970b6f8e409cd2498b24be0aad58134e77,1
3\My Documents\DS-0011.pdf,DS-0011.pdf,.pdf,document,289736,0.28,1154566444.0,22,HIGH,True,"U.S. Department of State FOR INFORMATION, QUESTIONS, AND INQUIRIES: Please visit our website at travel.state.gov. In addition, contact the National Passport Information Center (NPIC) toll-free at 1-877-487-2778 (TDD: 1-888-874-7793) or by e-mail at NPIC@state.gov. Customer Service Representatives are available M-F, 8AM-8PM EST (excluding federal holidays). Automated information is available 24/7. DS-11 PLEASE DETACH AND RETAIN THIS INSTRUCTION SHEET FOR YOUR RECORDS. U.S. PASSPORTS ARE I",aa66e4fc0ceb3377df25c46fccf508386a3fa8cf5c5338b69f7486682507c359,2
3\My Documents\ds-11PASSPORT.pdf,ds-11PASSPORT.pdf,.pdf,document,289736,0.28,1154566340.0,22,HIGH,True,"U.S. Department of State FOR INFORMATION, QUESTIONS, AND INQUIRIES: Please visit our website at travel.state.gov. In addition, contact the National Passport Information Center (NPIC) toll-free at 1-877-487-2778 (TDD: 1-888-874-7793) or by e-mail at NPIC@state.gov. Customer Service Representatives are available M-F, 8AM-8PM EST (excluding federal holidays). Automated information is available 24/7. DS-11 PLEASE DETACH AND RETAIN THIS INSTRUCTION SHEET FOR YOUR RECORDS. U.S. PASSPORTS ARE I",aa66e4fc0ceb3377df25c46fccf508386a3fa8cf5c5338b69f7486682507c359,2
3\My Documents\GunFacts5-0-screen.pdf,GunFacts5-0-screen.pdf,.pdf,document,801811,0.76,1214430850.0,18,HIGH,True, Table of Contents Table of Contents ..................................................................................................... i Introduction..............................................................................................................v Acknowledgements................................................................................................. vi Microstamping ...................................................................................................,f5f209da017ad8335b3c6f749a433ab0db9a6894f8777bf3efe217e6be7d3fd8,1
3\My Documents\SecretServiceThreats.pdf,SecretServiceThreats.pdf,.pdf,document,114743,0.11,1159771364.0,15,HIGH,True,"Training Available For School Divisions Guidelines for Responding to Student Threats of Violence The Virginia Youth Violence Project is offering training to school divisions in our new Guidelines for Responding to Student Threats of Violence. These Guidelines are designed to prepare school-based teams to evaluate and triage student threats of violence, quickly resolve minor threats, and take appropriate action in response to more serious threats of violence. Participants will learn to:",294adda8c04bc57926ba5b20bf763d8a251cf9a6425701f42539f789214e6360,1
2\SILK 161-200.pdf,SILK 161-200.pdf,.pdf,document,204123,0.19,1262051088.0,14,POSSIBLE,True,"161 CHAPUT transmit en clear— you are at least an imposter, at most a traitor. You told them the truth during those 'sweat shops' at the CCC, didn't you? I read the session notes on you in Washington. Clever bastard—but Dennison has lung cancer —he's in a federal prison in Pennsylvania. Dennison's so scared, he had his warden contact Dannemora. Dennison had to use his correct name to see his medical records. And the Pennsylvania warden thinks he's got you behind bars— you don't le",180401c546a9131141b04a6e05b93a10fd87fbc82670431d0c6f74436840f6b5,1
2\TanklessHeaterArticle[1].pdf,TanklessHeaterArticle[1].pdf,.pdf,document,1200158,1.14,1299191914.0,14,POSSIBLE,True,"I recently retired after 30 years as a res- idential contractor. My wife and I now live in a new home I built in Colorado. It’ s high in the mountains (ele- vation: 10,000 feet; heating degree days: 8,500) and has 2,000 square feet of con- ditioned space heated by a radiant-floor heating system. While most radiant systems get their hot water from either a tank-type water heater or a cast-iron boiler, my home’ s heat and domestic hot water (DHW) are both provided by a single Rinnai tankless — or",76f787d32a2ab22a55ce5351c78e518495235e184765c4a872900c2f60797c6c,1
2\APA style Manual.TXT,APA style Manual.TXT,.txt,document,29154,0.03,1275852120.0,12,POSSIBLE,True,﻿----------------------- Page 1----------------------- Running head: VARYING DEFINITIONS OF ONLINE COMMUNICATION 1 The running head is a The title ,145d0a35f0f8e42778ecda9695d9a04935891aabf396ac80c386d28d38a964de,1
2\SILK 121-160.pdf,SILK 121-160.pdf,.pdf,document,219824,0.21,1262048856.0,12,POSSIBLE,True,"121 CHAPUT “I'm alone,” she said. Silk backed away into the road, peered along the stone wall and its bordering azalea barriers that shielded her. “They'll find you.” Go now, he thought. “Doesn't mean you shouldn't run—running away is what you do be st.” Silk tripped into a River Road pothole. “I need you.” He couldn't see her, but he could feel her. “They're sending me to Poland— without you, I won't survive.” You'll survive, Silk thought— you'll always survive. HE'D",57445e0bb10de1b207865a7deef26dc46c4139923dbc27200d7948f0b2670f12,1
3\Tumbleweedbook.pdf,Tumbleweedbook.pdf,.pdf,document,866794,0.83,1318463838.0,12,POSSIBLE,True,Contents Introduction Confessions of a Claustrophile A Good Home Making Space Portfolio of Houses: Endnotes Biography Endorsements 4 6 24 64 120 122 124 130 138 146 150 156 160 164 166 168 170 172 174 176 178 180 182 186 188 190 195 196 197 New Popomo XS-House Ep,5e5b9aaf6dbea1ecc7c2a6569cd346995c86538fd550140dddd59b2cf087f42a,1
2\SCREAM REQUESTED MS..pdf,SCREAM REQUESTED MS..pdf,.pdf,document,1793775,1.71,1291765174.0,11,POSSIBLE,True,"1 CHAPUT SCREAM W J CHAPUT 107 Belmont Drive Alpharetta, GA 30022-5974 USA & 485 Barry Road Fairfield, VT 05455-5583 678-429-5881 galaxydiner@hotmail.com 2 CHAPUT WEDNESDAY ― SHORT FALLS, NEW HAMPSHIRE ― 4:13 P.M. Elaine Gilson scribbled her family‘s supper menu, then paused. She allowed her mind to wander briefly. She had shut off the coffee maker. The stove was off but warm—a tuna- pea-wiggle casserole hot in the oven—a mold",8698decdc467f20ed7ed70da5a0cb703b9da0e93925364ee68b0974bf24b2a73,1
3\SCREAM REQUESTED MS..pdf,SCREAM REQUESTED MS..pdf,.pdf,document,1791618,1.71,1288642416.0,11,POSSIBLE,True,"1 CHAPUT WEDNESDAY ― SHORT FALLS, NEW HAMPSHIRE ― 4:13 P.M. Elaine Gilson scribbled her family‘s supper menu, then paused. She allowed her mind to wander briefly. She had shut off the coffee maker. The stove was off but warm—a tuna- pea-wiggle casserole hot in the oven—a molded JELL-O salad in the fridge, a dozen defrosted dinner rolls in their Grand Union bag on the counter. Lights were off. Doors locked. Elaine Gilson tucked her short blond hair behind her ears, then seemingly s",78f6863f3948d4a2ce28d19489d74b1511a49bb0195d97df9e9ef22d5ea6ab8c,1
2\Email four ADDITIONAL sections for WHAT THE DOG SAW.pdf,Email four ADDITIONAL sections for WHAT THE DOG SAW.pdf,.pdf,document,173588,0.17,1399972786.0,10,POSSIBLE,True," The woods were lovely, dark, and deep . . . The spanking new dump truck from the Massachusetts Department of Public Works waited behind the fire station, shiny and sunlit so that its paint had the shimmer of Navel Orange pulp. The truck’s snout nearly touched the hardware store’s back wall. There were nine of us, sophomore high-school friends in go-fast Keds sneakers, jeans, and T-shirts waiting for the old guy who’d vanished momentarily into the fire station—our DPW driver, na",247e1c2ff27a98dd69d76f87cfeb55aea32740e5ea122d65e0bd1193d4149070,1
2\SILK 41-80.pdf,SILK 41-80.pdf,.pdf,document,214692,0.2,1261872568.0,10,POSSIBLE,True,"41 CHAPUT Sagansky said in Polish, “I got three more trucks comin' over from Brooklyn.” “You warehouse gasoline in Brooklyn?” “Work for me, Silk— you'll wear snappy clothes.” Sagansky picked at Silk's leather jacket. “You look like a bum.” “I am a bum,” Silk said in Polish. “If you're a bum, I'm Mayor LaGuardia.” Sagansky's first loaded truck ground across the Bayonne terminal yards, its taillight blinking on as it swayed over rail crossings and left through the main gate. ",83d80e7ae1e02fe7a59ae69cca1b94e2f261848ee06349089551f0f658395c6c,1
2\SILK 81-120.pdf,SILK 81-120.pdf,.pdf,document,215829,0.21,1262036644.0,10,POSSIBLE,True," 81 CHAPUT shorts from stolen Cinebref newsreels that gave the German view on the Polish invasion and Dunkirk. Horribly mutilated corpses and piled heads in grainy bits of film from China and the Japanese occupation. Siamese women suspended from their feet, legs apart, Japanese sergeants cleaving the women nearly in half with single sword slices. When the lights switched on, a lean man in corduroy and ascot introduced himself as Toledo: “Know you’re eager to hammer these devils, bu",c464fa10930880a08808cf88becd0f6674bfdcb3de02382bee23fc32db009836,1
3\TumbleweedHouses.pdf,TumbleweedHouses.pdf,.pdf,document,3270678,3.12,1318466690.0,10,POSSIBLE,True,"CATALOG HOUSES-TO-GO With wheels, traditional proportioning and ar- chetypal form, these little structures are like my house (in fact, that is my house in the photo). They are all designed to be portable and can, es- sentially, be sited anywhere you can park a travel trailer.* They range from about 50 to 130 square feet. Purchase yours ready-made or buy the plans to build it yourself. COT TAGES This category is reserved for all of my stationary designs of more than 120 square feet. Most i",e940eb37dae1510d0d338b7847c984ac4d190be75c7089f771ae5b74dbc70c9a,1
2\Missile Attack.TXT,Missile Attack.TXT,.txt,document,129244,0.12,1276038682.0,9,POSSIBLE,True,"﻿----------------------- Page 1----------------------- WikiLeaks Document Release http://wikileaks.org/wiki/CRS-RL31741 February 2, 2009 Congressional Research Service Report RL31741 Homeland Security: Protecting Airliners from Terrorist Missiles Christopher Bolkcom t, Foreign ",5eee312157895e3832d32499b9fb0f2465f8827896d016c58ca88637de087cc2,1
2\Smooth As Silk (complete).txt,Smooth As Silk (complete).txt,.txt,document,24084,0.02,1299196140.0,9,POSSIBLE,True," SMOOTH AS SILK by W. J. Chaput 107 Belmont Drive Alpharetta, GA 30022-5974 But Faith, fanatic Faith, once wedded fast To some dear falsehood, hugs it to the last. The Veiled Prophet of Khorassan Thomas Moore Remember this. Ahead, gray cliffs rise nearly to her level. She fe",d014700bc9d101920a1fd66d56d34d9285fbca9ca903a8a6f3d8c2b185aaa66b,1
3\My Documents\Tim_Wheat_Background_[1].pdf,Tim_Wheat_Background_[1].pdf,.pdf,document,1351777,1.29,1181405286.0,8,POSSIBLE,True,"lntelius People Search - Public Records, Background Checks & More. - lntelius- ' Page 1 of 10 tlember Status: li:::,, : reiasersidaol.conr [siSn Out] Customer Se|' l€e: 425.974.6100{ rnrek;u= tP Purt{ic. R€caltt lnformrtion Your credit card statement wlll reflect a charqe from li:telius. Your transactlon was successful. lul9,95 has been charged to your account. Your Order Number is 8124094, You mav contact our Cu3tom.. Suppo.t 45.974.6100 with any questlons' lsaarrh Summr.y llamc Drt. Of Blrth R",f099043338de52f04ad0f2c5128f09c0cb7a2731bdf08a634e83638a7bd58eb2,1
3\NO WAY OUT.docx,NO WAY OUT.docx,.docx,document,22756,0.02,1286938538.0,7,POSSIBLE,True,"NO WAY OUT Jillian Gary 10/12/10 “You never listen to me!” I screamed down the stairs. My mother didn’t answer me. She didn’t care what I had to say. I wasn’t the happiest person, but my friend Ella made me happy. I go to counseling Mondays and Thursdays. Ella, on the other hand, is my best friend. There are many secrets my parents don’t know. Ella knew most of my secrets. Her parents didn’t know that she went to an abandoned farmhouse to take pictures for her scrapbook. THE NEXT ",64e604fbd2cd0cee81ba19c193e497e0517c06ab0ec54bd9699745f3e7b35627,1
