path,filename,extension,category,size_bytes,size_mb,modified,relevance_score,relevance,text_extracted,text_preview,sha256,duplicate_count
1\NEW 3.12.25.docx,NEW 3.12.25.docx,.docx,document,6609,0.01,1753545526.0,0,UNLIKELY,True,"Given that dealing with immoral, incompetent, stunningly obtuse, ill-prepared, and/or hopelessly inerudite, uneducated lowlife howlers often become excursions into varieties of animus, societies might wish to consider breeding licensees. ",86235a9df286b07dde797a94254bc6f6de7c69eb3135d3ef4b51f02eb750e828,1
"1\Pure, fictional, and laughable twaddle 1.18.'25.docx","Pure, fictional, and laughable twaddle 1.18.'25.docx",.docx,document,6895,0.01,1753545736.0,4,LOW,True,"Pure, fictional, and laughable twaddle meant to gull 3rd-world ’Murka's deluded ""Great Unwashed"" into something very like a fairy-tale bedtime story. Each passing day re-certifies the 'Murkan Embarrassment as a monstrously pathetic, war-mongering nightmare wherein 82.7% of its goober majority sports nothing more than truly lousy grade-school attendance. Most ’Murkans matriculate into blissful oblivions. Ya' can't fix stupid!",8450c3430ee49d888a46548a10890cc3279d399ef147993090c9d0ef4a35ed52,1
1\Reichsministerium für Volksaufklärung und Propaganda.docx,Reichsministerium für Volksaufklärung und Propaganda.docx,.docx,document,728452,0.69,1669588380.0,0,UNLIKELY,True,Reichsministerium für Volksaufklärung und Propaganda,5e832437d8a2ba619e71fa1475e701caf5e55f407aef238931996730f2a3934d,1
1\RIGGED ELECTIONS.docx,RIGGED ELECTIONS.docx,.docx,document,728459,0.69,1667953644.0,0,UNLIKELY,True,Most 2nd-world ’Murkans very sensibly never vote in rigged elections,e20701db0d584823e7c9d44f91fd18c0931d7225c1fd28cb25e9a6806f2fff98,1
1\ROPE BEDS.docx,ROPE BEDS.docx,.docx,document,110198,0.11,1753545012.0,0,UNLIKELY,True,"Nothing wrong with dilapidated 'Murka's 82.7% slice of barking-mad fascists that a Gulag at —52 degrees with no food, no winter clothing, unheated barracks, rope-beds, poisonous water, no sun, rabid dogs, and electrified fences wouldn't cure. And Ol’ Putie would be so tickled for the extra cash.",c190990e21341fcf76e01dc4f5b0d01b87107bbb3cc79c490089d715476f570f,1
1\SHORTS 9.5.'24.docx,SHORTS 9.5.'24.docx,.docx,document,6599,0.01,1753545872.0,0,UNLIKELY,True,"Stodgy and universally-inclement Repugnut drabs remain fatally marooned in 1956. It's no longer amusing that almost all 'Murkans haven't anything like the ability to construct a clear, cogent sentence in English.",6c2a4919c89f51c78fb5d6c8ffd1e06bfc9f9633ec7d0ab2487a5e8dd08fc27f,1
1\Strident religionists have forever been a lunatic tribe  (1).docx,Strident religionists have forever been a lunatic tribe  (1).docx,.docx,document,6805,0.01,1753545712.0,0,UNLIKELY,True,"Strident religionists have forever been a lunatic tribe of morbidly-diseased and utterly-hopeless crackpots with their 96,870,314 assorted gods, godlets, holy wackoloons, water sprites, river monsters, magic angels, and deep, dark ""debils"" propagating like lethal cancer cells in genuinely morbid human societies that are so far gone they’ve metastasized as well into perfect palls of misery and murder.",94a81437a09733eb4fcfa6e2ddca7b47c0336e9ce5674d3a7255de294a0801a6,1
1\Strident religionists have forever been a lunatic tribe .docx,Strident religionists have forever been a lunatic tribe .docx,.docx,document,6724,0.01,1737397336.0,0,UNLIKELY,True,"Strident religionists have forever been a lunatic tribe of morbidly-diseased and utterly-hopeless crackpots with their 96, 870, 314 gods, godlets, holy wackoloons, water sprites and river monsters, magic angels and deep, dark ""debils"" propagating like lethal cancer cells in sick societies of hopelessly delusional cretins, cranks, and creepy wombats so far gone they're a pall of misery.",596e4a6b143c69cca4dfdce9400ad51f68a3410f794ebe012df250aaef665bc0,1
1\The crooked creep's a fraud 3.15.'25.docx,The crooked creep's a fraud 3.15.'25.docx,.docx,document,6674,0.01,1753545470.0,0,UNLIKELY,True,"LOOK! The crooked creep's a fraud, always has been a crooked fraud, all the Earth knows the crooked fraud's a cheesy, ignorant toad simply begging for incarceration, animus, hatred, discipline, ""time out,"" banishment, avoidance, disparagement, and destruction. Make a noose, then use it to garrote the gawd-awful schlemiel.",4512ce513f79169b8b4dbe6c6c626a91c2238a6cddf271b497ae41b365804272,1
1\The Schutzstaffel--SS.docx,The Schutzstaffel--SS.docx,.docx,document,728373,0.69,1664763592.0,0,UNLIKELY,False,,cc96f9e8de7dc03f7d6636d0e9e102d7eb91756f71c138e440f02258980838c5,1
1\This cheesy blowhard deserves.docx,This cheesy blowhard deserves.docx,.docx,document,6738,0.01,1753545498.0,0,UNLIKELY,True,"Actually watching Mango Mussolini shred before our eyes is such a treat! No matter where The Thing lands, it's rotten to its sour core, morally defunct, utterly empty, barbarous, banal, cowardly, vaguely incoherent, repulsive, traitorous, weak, oblivious, sleazy, and/or D.O.A. This cheesy blowhard deserves all that it's getting right between its empty, dead eyes. Always will.",3e6689dc5fdf21743d465a89bb18ead40a15e8a752174ddba2fd6567626c1eb6,1
1\THOMPSON'S.docx,THOMPSON'S.docx,.docx,document,304350,0.29,1662057530.0,0,UNLIKELY,True,"100% Secure Checkout Privacy Policy Cart 1 Customer Service: 1-800-237-2559 Shipping Address W J CHAPUT 3 CATHEDRAL SQUARE 5I BURLINGTON, VT 05401 (415) 992-2050 EDIT Delivery Method UPS Ground 2-5 Business Days $11.99 Due to an increased demand in orders, there is a possibility for minor delays on some packages. This may impact the date projections below. We appreciate your understanding. EDIT 3Payment Method Billing same as Shipping Credit Card Select A Credit Card VISA: CANCEL Expiry MM* E",f7da6c847af69c02102b688539e6376704d3783b17de85822d2243edd4cd82be,1
1\Untitled document (1).docx,Untitled document (1).docx,.docx,document,6526,0.01,1753545404.0,0,UNLIKELY,True,It's pitiful but true that 3rd-world 'Murkans own nothing like the courage nor the fortitude to rescue the little that remains of Jefferson's once sparkling dreams for nervana. ,694a55de240f0b9356b60832836d45941126308bf3752838a6efd2b23a871dcd,1
1\Untitled document (2).docx,Untitled document (2).docx,.docx,document,6776,0.01,1753545658.0,0,UNLIKELY,True,"While Herr Chump’s a genuine, fascist moron, the creep’s absolute perfection for a ’Murkan 82.7% nightmarish welter of ignorant, illiterate, unread, and barking-mad human ZipTies who stare at their standard-issue, utterly banal, 4th-grade TeeWee fare for an average 59.6 hours every bloody week. An estimated 41.7% of these miserable bohunks NEVER shut-off their Boob Tubes.",769fe3c68b6c3bdf25b046e0dced94e7eb6b71b84e27e48048db60fac4e0c081,1
1\Untitled document (3).docx,Untitled document (3).docx,.docx,document,6752,0.01,1753545782.0,4,LOW,True,"Pure, fictional, and laughable twaddle meant to gull 3rd-world 'Murka's deluded ""Great Unwashed"" into something very like a fairy-tale bedtime story. Each passing day re-certifies the 'Murkan Embarrassment as a monstrously pathetic, war-mongering nightmare wherein 82.7% of its goobers sports nothing more than truly lousy high-school attendances. Ya' can't fix stupid!",83abd81f7aec169245bd62c4823ad99304dca9429c4d017b3969a0e67192d7d2,1
1\Untitled document.docx,Untitled document.docx,.docx,document,289128,0.28,1753545124.0,0,UNLIKELY,True,"Ah, yes! Third-world 'Murka's shame goes on, and on, and on. Barking-mad fools---the entire mob of ignorant and helpless skidmarks.",f14554d3c6badf6059f4ee9c12fc967c989e2743f8e72088246bd73a7c40c74a,1
1\_a puny 249 years.docx,_a puny 249 years.docx,.docx,document,7016,0.01,1753545626.0,0,UNLIKELY,True,"The dilapidated, universally-despised, 3rd-world 'Murkan embarrassment with its 82.7% population of poisonous lowlife toads has for decades been all the Earth's foulest toxic-waste site as well as a stirring admonition to other scabrous societies that they might heed the warning klaxons announcing 'Murka's impending collapse as well as the universal full-throated cheers for the dump's welcome demise. France is so old no one knows how old the sparkling, ACE#1, 1st-world nation with Earth’s fines",5587797485ed98e939366da590c2465739b924cf3225cd493be43ae319b2797a,1
1\Favorites\desktop.ini,desktop.ini,.ini,other,84,0.0,1786217309.446729,0,UNLIKELY,False,,b75cc3baa732d2ffb9ba50a7722f85fd24c1980ccc70d76c0451e072842d759b,1
1\Favorites\Links\desktop.ini,desktop.ini,.ini,other,80,0.0,1478386650.0,0,UNLIKELY,False,,e469ed17b4b54595b335dc51817a52b81fcf13aad7b7b994626f84ec097c5d57,1
1\HOME-PC\Desktop.ini,Desktop.ini,.ini,other,226,0.0,1520206270.0,0,UNLIKELY,False,,f2b033e2cbae1fe445004a53b8a81f193df56577be90e9fbc64a791e0b5dbcd2,1
1\HOME-PC\New Rich Text Document.rtf,New Rich Text Document.rtf,.rtf,document,3002,0.0,1744851236.0,0,UNLIKELY,True,"{\rtf1\ansi\deff0\nouicompat{\fonttbl{\f0\fnil\fcharset0 Calibri;}{\f1\fnil\fcharset0 Verdana;}} {\*\generator Riched20 10.0.19041}\viewkind4\uc1 \pard\sa200\sl276\slmult1\f0\fs22\lang9\par \pard\sa200\sl240\slmult1\f1\fs24 Let's all watch 'Murka's Nazi's lose their tiny minds, huh?FUXCARTOONNEWS, in its astonishing wisdom, has once again announced itself as 'Murka's miserable reincarnation of Germany's 1933 Reichsministerium f\'fcr Volksaufkl\'e4rung und Propaganda under Dear Donny Chump. ",e1424308c4129cc99da273880cef45a37d1b6a8e7444d5f4863b6fbb01343c11,1
"1\Toshiba Files\'s not whitey's fauly, you dumb shits.doc","'s not whitey's fauly, you dumb shits.doc",.doc,document,41984,0.04,1346015258.0,0,UNLIKELY,False,,49f2cd7d59760c73e222d4eeecab3aeae4550bc51d9edb6cf2ea3a9aeb91983e,1
"1\Toshiba Files\, cheat  resistance.doc",", cheat  resistance.doc",.doc,document,26624,0.03,1487003162.0,0,UNLIKELY,False,,013fbfac86c6d2bcdaa45c0e7671b49e4a249470dd559a62b9211ed333152279,1
1\Toshiba Files\140 characters are little STUMP.doc,140 characters are little STUMP.doc,.doc,document,26624,0.03,1483551512.0,0,UNLIKELY,False,,a7b99c77f30c192e53a5c5898818969bf5ad5954c62e70e647648995a330b118,1
1\Toshiba Files\16th Century VOTING.doc,16th Century VOTING.doc,.doc,document,41984,0.04,1350757930.0,0,UNLIKELY,False,,79a554488d4e775ccd0365fc438def78c54321f19cc8745454fecf0f69945ae5,1
1\Toshiba Files\1873-1959 TIMELINE.doc,1873-1959 TIMELINE.doc,.doc,document,171520,0.16,1439474182.0,0,UNLIKELY,False,,ee7e59ca095f24083cfca5213c8601471aacb06c47fc88c3830e003f0ecc9c6e,1
1\Toshiba Files\1944 from Boston to Savannah.doc,1944 from Boston to Savannah.doc,.doc,document,45568,0.04,1369691518.0,0,UNLIKELY,False,,723c3e48ceed5edfe453ac8d8a1e43033e70c4f07ec02e5e899f9a582694d183,1
1\Toshiba Files\1948 TUCKER.doc,1948 TUCKER.doc,.doc,document,1182720,1.13,1311708958.0,0,UNLIKELY,False,,d1d13357ee291047e274e7d35fd05740871c6a1e55166aa84d6977da97b06bb3,1
1\Toshiba Files\20th Century Limited to Chicago.doc,20th Century Limited to Chicago.doc,.doc,document,6878720,6.56,1459196570.0,0,UNLIKELY,False,,82cd31113dc1123c9d637c2532c810ee737d4929ac5b381bd1cb2524d2a08f0c,1
1\Toshiba Files\89 N to 35 to 10W to 20W.doc,89 N to 35 to 10W to 20W.doc,.doc,document,349184,0.33,1450365658.0,0,UNLIKELY,False,,8d91ba05c7cf632cc37ca1fe631e3ed4122b3d26f2066c534df7d4786e746566,1
1\Toshiba Files\90.doc,90.doc,.doc,document,56320,0.05,1420822236.0,0,UNLIKELY,False,,5e8641044cef2e4e6ae6c92289ac01fe6f7cb1b0a7a1fd6e0dd9f5ff6d967407,1
1\Toshiba Files\A near fire ant americans.doc,A near fire ant americans.doc,.doc,document,60928,0.06,1446740900.0,0,UNLIKELY,False,,b119713e41d87f97cf8212e96401ff3cd197fbc005da090e56a45a13c182bd1f,1
1\Toshiba Files\A Perfect Life.doc,A Perfect Life.doc,.doc,document,1031168,0.98,1275779404.0,0,UNLIKELY,False,,a417f2cbe47b7a8591ca5bfb5f18736116a73eb106ae62c391a36a9e62e1c223,2
1\Toshiba Files\A silent sea of surly psychotics psychopathics.doc,A silent sea of surly psychotics psychopathics.doc,.doc,document,57344,0.05,1426522886.0,0,UNLIKELY,False,,67163e01932e846eac68924f57b2c7bafec4888446a68fd74792bddd5ba46b7f,1
1\Toshiba Files\A Surfeit of Derelicts.doc,A Surfeit of Derelicts.doc,.doc,document,37376,0.04,1350804922.0,0,UNLIKELY,False,,275edcf99f6b3e5e0c7d7fc38207cd7f1e803fce71f801fb9cb4d11480650b50,1
1\Toshiba Files\A Teapublican circular firing squad.doc,A Teapublican circular firing squad.doc,.doc,document,63488,0.06,1439161872.0,0,UNLIKELY,False,,a619d5d036cd80acd54ddbdd7ac885629bf9df09218c88d457631e14b9ce8de9,1
1\Toshiba Files\Absolutely no one cares what the irrelevant TSA does or says.doc,Absolutely no one cares what the irrelevant TSA does or says.doc,.doc,document,41472,0.04,1362538938.0,0,UNLIKELY,False,,e70d43cffde1ed1fe1aa8667d701b028c84eb53afadffef817788256da3dcacf,1
1\Toshiba Files\Absolutely true.doc,Absolutely true.doc,.doc,document,44032,0.04,1348570182.0,0,UNLIKELY,False,,4a6c0de9d9fca53a0a2c0e29d4c81c02dc332d6921c0df55186959a6c2ed0065,1
1\Toshiba Files\ADD to stick file.doc,ADD to stick file.doc,.doc,document,51200,0.05,1420285572.0,0,UNLIKELY,False,,62fcc1ed256c475065dc827271eda34c2ef978f76c5b50667b19c0a79aae5f47,1
1\Toshiba Files\Advertising Age.doc,Advertising Age.doc,.doc,document,153600,0.15,1331760976.0,0,UNLIKELY,False,,8fe97d3fab188a39ac0da3d3d17f057c9a0717d5cdf9f4e7e46eed6162e105d8,1
1\Toshiba Files\Affinity diagrams and idea sets.doc,Affinity diagrams and idea sets.doc,.doc,document,200704,0.19,1359317474.0,0,UNLIKELY,False,,01dae7d64b7451e45ef093cf6529a487116bc2f0f6411a903d0ea2c736ceb193,1
1\Toshiba Files\After his dog BoBo scratches up moldering human toes behind a derelict Massachusetts gas station.doc,After his dog BoBo scratches up moldering human toes behind a derelict Massachusetts gas station.doc,.doc,document,58368,0.06,1425924700.0,0,UNLIKELY,False,,819b888d93206f696151e3c2a53bc206bacb79c3a991908cc2e25e81b21607dc,1
1\Toshiba Files\AGENTS WHO RESPONDED 1ST.doc,AGENTS WHO RESPONDED 1ST.doc,.doc,document,59904,0.06,1426356102.0,0,UNLIKELY,False,,af0744c6e6c970570aad0fcfc9b7f972d2c765bed19f445124d344370672ffed,1
1\Toshiba Files\Ah DALLAS COP KILLERS.doc,Ah DALLAS COP KILLERS.doc,.doc,document,28672,0.03,1468019066.0,0,UNLIKELY,False,,025b7dd084ec175490959ced3d61776e374be30c7f43d77a5537d7e697b00914,1
"1\Toshiba Files\Ah well, America's first family of rubes.doc","Ah well, America's first family of rubes.doc",.doc,document,43520,0.04,1378125018.0,0,UNLIKELY,False,,288d1f037b733d4f93c8b67a792aa9ae0153e3806eef224702dec8c3a2b96466,1
"1\Toshiba Files\Ah, Alabama hot sauce.doc","Ah, Alabama hot sauce.doc",.doc,document,65536,0.06,1444792230.0,0,UNLIKELY,False,,6c53d922670ef0e7135a1a3435a8ebce57f52a76afca277c2d09373b3c941fdc,1
"1\Toshiba Files\Ah, football.doc","Ah, football.doc",.doc,document,44544,0.04,1369954334.0,0,UNLIKELY,False,,c2c4a90eebd5dcf874eaa1474976e6d26215277eeb165b2044cd1bddb73d4529,1
"1\Toshiba Files\Ah, here we go  bushists.doc","Ah, here we go  bushists.doc",.doc,document,26624,0.03,1466209612.0,0,UNLIKELY,False,,e9ef16692e4881c8d00049adfd1e49c1319f22f731fe9bae83ba7baae799bdfc,1
"1\Toshiba Files\Ah, here we go again. America’s killer cops..doc","Ah, here we go again. America’s killer cops..doc",.doc,document,29184,0.03,1479428666.0,0,UNLIKELY,False,,0b1f0d68090a7302a851c4c486208d9ceac8d4bc870de191a0c3a44e72223038,1
"1\Toshiba Files\Ah, popey.doc","Ah, popey.doc",.doc,document,46592,0.04,1368207092.0,0,UNLIKELY,False,,ccfe10651d6d96d6bfc9ab86e4266dac7caacb77bbaf445823a58273de096eaa,1
"1\Toshiba Files\Ah, the desert rabble.doc","Ah, the desert rabble.doc",.doc,document,46592,0.04,1369949782.0,0,UNLIKELY,False,,750bab1128f67831f9347dba7bd227235da6d5385217d7632121a12e5f664af4,1
"1\Toshiba Files\Ah, well here come the desert.doc","Ah, well here come the desert.doc",.doc,document,43520,0.04,1347578534.0,0,UNLIKELY,False,,6465296fbf6e28c301d82e5c304c4cde586bb48f7b54c9c5227c997efe3d9d14,1
"1\Toshiba Files\Ah, yes. One Tucker Carlson . . ..doc","Ah, yes. One Tucker Carlson . . ..doc",.doc,document,53760,0.05,1427191364.0,0,UNLIKELY,False,,c443b11ca6c45593647fc3cb5d447f0baea4f81f0edbcaaa8a62d8f63b68234e,1
1\Toshiba Files\AhFelonious boosh and the boys.doc,AhFelonious boosh and the boys.doc,.doc,document,27136,0.03,1447887648.0,0,UNLIKELY,False,,53a6d942c4e05126ccc31d00e51af0b87af5b83146ea03f0055ed4950a963520,1
1\Toshiba Files\AKWESASNE LOGO COLOR.doc,AKWESASNE LOGO COLOR.doc,.doc,document,52224,0.05,1379432782.0,0,UNLIKELY,False,,10006adfd9d8134cc1b58711d2405463e97cd0dbc1f466210538899d7db54e58,1
1\Toshiba Files\AKWSASNE LOGO.doc,AKWSASNE LOGO.doc,.doc,document,99840,0.1,1379389730.0,0,UNLIKELY,False,,def617e3bfa1f93f19b3abf9109a6a9ae702f3a4a54ed67925f4f610f0c0ac86,1
1\Toshiba Files\Al Sharpton is a blood.doc,Al Sharpton is a blood.doc,.doc,document,53248,0.05,1419376570.0,0,UNLIKELY,False,,deea523e1df3155b1d66559720a5112793c9bf38d0b972f71ef0c5631d23ff3f,1
1\Toshiba Files\Al-Assad.doc,Al-Assad.doc,.doc,document,42496,0.04,1342899034.0,0,UNLIKELY,False,,a25657d598c935a43cf7f56d2375c7d6b0fefb1ce53a930a3f54a2fb06f48514,1
1\Toshiba Files\All cops everywhere in the world are dim.doc,All cops everywhere in the world are dim.doc,.doc,document,42496,0.04,1342376832.0,0,UNLIKELY,False,,cd11ebc81ae35cec598c6d24cdc0b13555d716db9a63a5fea02d96ebdfe34f0c,1
1\Toshiba Files\All in a day's work . . ..doc,All in a day's work . . ..doc,.doc,document,26112,0.02,1455460188.0,0,UNLIKELY,False,,718393eb44a1ec6993c3b002ebc87a53e3c01957a11e1b806ccca8f9208d477b,1
1\Toshiba Files\All of this GOP tumult over a guaranteed also.doc,All of this GOP tumult over a guaranteed also.doc,.doc,document,38400,0.04,1330316870.0,0,UNLIKELY,False,,d7bb3930d6b26779030297b242d973fadfab40957064c89d5aacf68bd25d0e54,1
1\Toshiba Files\Allen West is a fractured mind with a bad haircut.doc,Allen West is a fractured mind with a bad haircut.doc,.doc,document,41472,0.04,1373983658.0,0,UNLIKELY,False,,16db8890bd54b86aa842c6a1f0cdb915c861b4df98bddfec6e7a19e657d4b9b6,1
